word;2_00;2_10
demonstratiezaal;-;K
elleboogblessure;-;K
elftalbegeleider;-;K
derdedivisieclub;-;K
paleoantropoloog;-;K
sovjetcommunisme;-;K
videotheekhouder;-;K
verpakkingsstaal;-;K
badmintontoernooi;-;K
badmintonselectie;-;K
assemblagebedrijf;-;K
immigrantenbeleid;-;K
profileringsdrift;-;K
triomfantelijkheid;-;K
commissionairshuis;-;K
contingentsperiode;-;K
introductiebericht;-;K
studentenpredikant;-;K
toneelschrijfkunst;-;K
tijdschriftengroep;-;K
carpoolwisselstrook;-;K
dissidentenbeweging;-;K
contingentsverbruik;-;K
opvolgingsprocedure;-;K
ranglijstaanvoerder;-;K
supermarktpersoneel;-;K
quarantainepolitiek;-;K
zwartgeldpraktijken;-;K
twaalftoonstechniek;-;K
polarisatiestrategie;-;K
strafrechthervorming;-;K
commissionairsbedrijf;-;K
noteringsovereenkomst;-;K
burgerrechtenwetgeving;-;K
afschrikkingsevenwicht;-;K
voorlichtingsambtenaar;-;K
lunchpauzevoorstelling;-;K
speedbootrace;-;K
kersenbonbon;-;K
luizenei;-;K
maanzaadbrood;-;K
traankanaal;-;K
ventieldop;-;K
vlaggenbrief;-;K
vloerbrood;-;K
wervelgewricht;-;K
zweetspoor;-;K
schroefwinding;-;K
uithoesten;-;K
arrestantenwagen;-;K
arbeidsleer;-;K
bestuurswijziging;-;K
aannemingsmaatschappij;-;K
afbraakbuurt;-;K
herexamineren;-;K
drugmaffia;-;K
drugrunner;-;K
effectenkredietinstelling;-;K
exhumatie;-;K
afloopmaand;-;K
gelegenheidsdrinker;-;K
goedschrift;-;K
hemdblouse;-;K
heroïnespuit;-;K
huurgewenningsbijdrage;-;K
kiesbevoegd;-;K
kleefmijn;-;K
kredietverzekeringsmaatschappij;-;K
molenvliegtuig;-;K
morfineverslaving;-;K
zakenpand;-;K
zeeafzetting;-;K
nevenbedoeling;-;K
heiligdomsvaart;-;K
sorrycultuur;-;K
chanoekafeest;-;K
pistache-ijs;-;K
waldkornbrood;-;K
nevelflarden;-;K
buurhuis;-;K
volksdansfeest;-;K
droogkokend;-;K
Syrisch-orthodox;-;K
all-inpakket;-;K
ski-instructeur;-;K
fietscrossen;-;K
kersenontpitter;-;K
spelregelwijziging;-;K
keepersvak;-;K
schimmengevecht;-;K
binnenrijm;-;K
oppositiekamp;-;K
eilandrepubliek;-;K
deelraadbestuur;-;K
rupsje-nooit-genoeg;-;K
pocketcomputer;-;K
slavenarmband;-;K
verpakkingskarton;-;K
Franglais;-;K
syndiceren;-;K
Anansi;-;K
onderwatertunnel;-;K
schoolfrans;-;K
rugsproeier;-;K
melkoverschot;-;K
koningspalm;-;K
tijmblaadje;-;K
gruisdeeltje;-;K
maïsgluten;-;K
straatnamenboek;-;K
zatterik;-;K
service-volleyspel;-;K
puzzelwoordenboek;-;K
barokconcert;-;K
reteslim;-;K
reuzemooi;-;K
reuzeklein;-;K
reuzemop;-;K
griezeleffect;-;K
haarkrul;-;K
houtvezelplaat;-;K
kamerwand;-;K
kleermakerskrijt;-;K
loonslip;-;K
overhoopschieten;-;K
platmaken;-;K
smiespelen;-;K
stucwerker;-;K
vensterkozijn;-;K
verdonkeremaning;-;K
duifgrijs;-;K
duivelsdrek;-;K
figuurdans;-;K
instudering;-;K
houtgraveur;-;K
troepiaal;-;K
stuurraket;-;K
stortgoot;-;K
artillerieduel;-;K
studentenjargon;-;K
hemotoxisch;-;K
fosfaatwinning;-;K
slakkenwouw;-;K
potloodstreep;-;K
oud-Vlaams;-;K
palissadeparenchym;-;K
oppergerechtshof;-;K
dodenboek;-;K
Samisch;-;K
geschutsopstelling;-;K
hartneurose;-;K
papiergebrek;-;K
ballroomdans;-;K
Ostrogotisch;-;K
lymeziekte;-;K
zeepschuim;-;K
aspergersyndroom;-;K
deuteriumkern;-;K
purperhart;-;K
kwartcirkel;-;K
Sranan;-;K
tefilin;-;K
Italisch;-;K
bastaardhond;-;K
sektevorming;-;K
Rijndal;-;K
slaaprijtuig;-;K
koninginnenkruid;-;K
netvormig;-;K
teleonomie;-;K
KZ-syndroom;-;K
pH-neutraal;-;K
kolenveld;-;K
Cornisch;-;K
infanteriesoldaat;-;K
pianobouwer;-;K
hydroxide-ion;-;K
koolzuursneeuw;-;K
zanger-songwriter;-;K
luitspel;-;K
maandnaam;-;K
hurling;-;K
haardstedengeld;-;K
magmatisch;-;K
cupwinnaar;-;K
Nederlandkunde;-;K
Ladino;-;K
kunstskibaan;-;K
toeschouwerscapaciteit;-;K
opbleken;-;K
caravanstalling;-;K
kloostercongregatie;-;K
mennonitisch;-;K
aggregaatstoestand;-;K
cabrioletkap;-;K
zandsteenlaag;-;K
privaatdocentschap;-;K
boswachtershuis;-;K
jobcenter;-;K
foezelig;-;K
klankidioom;-;K
sopraansolo;-;K
Laagland-Schots;-;K
gereedschapsstaal;-;K
Numeri;-;K
varkensleren;-;K
semiet;-;K
psychologiestudie;-;K
neusgang;-;K
skiwas;-;K
schuldvermenging;-;K
geslachtskunde;-;K
wijnkoop;-;K
fonduestel;-;K
sekslingerie;-;K
sodeflikker;-;K
snijapparaat;-;K
fietskamperen;-;K
oasestad;-;K
ontdekkingsreizigster;-;K
stijlbesef;-;K
paginacijfer;-;K
medresse;-;K
armoedje;-;K
schoolvorming;-;K
uitklinken;-;K
voordeurbel;-;K
grondkapitaal;-;K
tijdspiegel;-;K
ovenhandschoen;-;K
paardrijbroek;-;K
methylchloride;-;K
thiofeen;-;K
vinylgroep;-;K
loodcarbonaat;-;K
afkoelsnelheid;-;K
papierdun;-;K
rijmerij;-;K
nargileh;-;K
receptenbundel;-;K
roerstok;-;K
neuslijn;-;K
stootsgewijs;-;K
filmkunde;-;K
schildersoog;-;K
schimpschrift;-;K
Pasjtoe;-;K
stakkerig;-;K
beeldenrijk;-;K
regisseurstheater;-;K
toneelschoolleerling;-;K
groei-industrie;-;K
notatiebiljet;-;K
uniformbroek;-;K
haarkroon;-;K
afbakbrood;-;K
kweeksel;-;K
varenachtig;-;K
ineenvouwen;-;K
ronddienen;-;K
overroeien;-;K
overtrouwen;-;K
opstikken;-;K
omdonderen;-;K
omdwalen;-;K
omflikkeren;-;K
omkukelen;-;K
omnaaien;-;K
omtrappen;-;K
omverslaan;-;K
omverschieten;-;K
damessjaal;-;K
nabranden;-;K
genitief-s;-;K
inranselen;-;K
inzijpelen;-;K
doorakkeren;-;K
doorrouteren;-;K
doorsmeulen;-;K
afbietsen;-;K
achteruitsteken;-;K
houtrasp;-;K
philibertspant;-;K
lagerhand;-;K
afloopdag;-;K
kiesnummer;-;K
natuurzij;-;K
mishoren;-;K
keerwoord;-;K
luchtmeter;-;K
methodestrijd;-;K
buurtbezoek;-;K
luchtslag;-;K
melklijst;-;K
laterzaak;-;K
dansmaat;-;K
gelijkkomen;-;K
geheugenschijf;-;K
muziekvermogen;-;K
luchtbus;-;K
bijverlichting;-;K
meiregen;-;K
boordinstrument;-;K
mistongeluk;-;K
breedteniveau;-;K
handexemplaar;-;K
eindindruk;-;K
eeuwhelft;-;K
kunstvlees;-;K
hotellift;-;K
genrevoorstelling;-;K
euroverpakking;-;K
autofusie;-;K
maatanalyse;-;K
periodeoverzicht;-;K
wassoort;-;K
titelwoord;-;K
secondespel;-;K
vliegtuigshow;-;K
seksbusiness;-;K
voetbalpas;-;K
reputatiemoord;-;K
zetbreedte;-;K
schooleditie;-;K
politiewacht;-;K
waspapier;-;K
valutaoorlog;-;K
showmusical;-;K
voorraadwinst;-;K
wachtverbod;-;K
televisiemagazine;-;K
taalvergelijking;-;K
postpositie;-;K
situatieanalyse;-;K
afgiftekoers;-;K
agiostock;-;K
bolivar;-;K
interventiekoers;-;K
jobber;-;K
saguaro;-;K
goedleggen;-;K
personenstrijd;-;K
aftershavelotion;-;K
anlaut;-;K
bepruiken;-;K
beslissingspartij;-;K
bezitsverhouding;-;K
formicatafel;-;K
kalmeringstablet;-;K
koereiger;-;K
kolensjouwer;-;K
krielaardappel;-;K
liederenrecital;-;K
lijkvlek;-;K
maanreiziger;-;K
maatwisseling;-;K
sabotagepoging;-;K
scoringsmogelijkheid;-;K
sectiebestuurslid;-;K
side-out;-;K
stationsoverkapping;-;K
straalverkeersvliegtuig;-;K
valutaspeculant;-;K
veldbioloog;-;K
zomerschoen;-;K
woonkuil;-;K
plofklank;-;K
hurksprong;-;K
steilstarter;-;K
narcotica-agent;-;K
turbopropvliegtuig;-;K
loodverf;-;K
herscholingsprogramma;-;K
obligatiegroeifonds;-;K
megadosis;-;K
geslachtstest;-;K
koudwalserij;-;K
flessenbier;-;K
merseybeat;-;K
douanehuisje;-;K
plissérok;-;K
strijk-en-zet;-;K
vleierig;-;K
briefhoofding;-;K
omslagbelasting;-;K
dégénérée;-;K
ochtendmaaltijd;-;K
speculaaspop;-;K
sinterklaasinkopen;-;K
brandname;-;K
sheetfeeder;-;K
journaalverslaggever;-;K
saloeki;-;K
revolvertang;-;K
glo;-;K
perzikhuid;-;K
vormbeheersing;-;K
liefdeservaring;-;K
raakheid;-;K
eenheidsbeweging;-;K
ontspanningsliteratuur;-;K
ontronding;-;K
référé;-;K
reaffecteren;-;K
fijnvoelend;-;K
vegaburger;-;K
meervouds-s;-;K
derdewereldactivist;-;K
penningske;-;K
vrijkous;-;K
montignaccen;-;K
grondoefening;-;K
derdewereldstad;-;K
submicroscopisch;-;K
ozonafbraak;-;K
65+-kaart;-;K
vaalgrijs;-;K
afscheidsscène;-;K
wildviaduct;-;K
snoeioperatie;-;K
participatieakkoord;-;K
ontgraten;-;K
publicrelationsbureau;-;K
maisakker;-;K
maiskip;-;K
maisoogst;-;K
maisplant;-;K
pofmaïs;-;K
tijgerkooi;-;K
video-editor;-;K
heupwijdte;-;K
laospoeder;-;K
birambi;-;K
onrustgebied;-;K
stinsenplant;-;K
stralingsintensiteit;-;K
kruldistel;-;K
trechterwerking;-;K
sluitdop;-;K
escalatieladder;-;K
werkdiscipline;-;K
elevatiehoek;-;K
toeleveraar;-;K
kransvat;-;K
decollectivisering;-;K
loodmantel;-;K
koelmantel;-;K
geïnvolveerdheid;-;K
confrontatiemodel;-;K
besluitvormingscentrum;-;K
kweekmantel;-;K
kernsplijtingsafval;-;K
schuimblusapparaat;-;K
ontluchtingspijp;-;K
scrambler;-;K
zodenbemester;-;K
spiegeloptiek;-;K
raffinage-industrie;-;K
Tonga-eilanden;-;K
eenkoppig;-;K
casinopersoneel;-;K
verrijkingscapaciteit;-;K
secondopinionarts;-;K
try-outvoorstelling;-;K
jakamp;-;K
nee-uitslag;-;K
luchtpostpapier;-;K
tandoorikruiden;-;K
viersterrenrestaurant;-;K
expositieterrein;-;K
schuiflood;-;K
kamerorgel;-;K
plurk;-;K
newagebeweging;-;K
ombuigingsprogramma;-;K
frambozenbier;-;K
lotsgemeenschap;-;K
afweerhouding;-;K
relatiestoornis;-;K
oerervaring;-;K
strafklas;-;K
autocarrosserie;-;K
haarvatennet;-;K
schaambeharing;-;K
hulpbrug;-;K
dillezaad;-;K
grafietreactor;-;K
pijpbreuk;-;K
muskusgeur;-;K
zilverbeslag;-;K
cassavebrood;-;K
woningdelersregeling;-;K
kleurendriehoek;-;K
rassenkunde;-;K
Coronie;-;K
humanresourcesafdeling;-;K
wereldmilieutop;-;K
cellosolo;-;K
hangpuntenbrief;-;K
moslimstrijdkrachten;-;K
strafrechtwetenschap;-;K
pietepeuteren;-;K
regelgen;-;K
levenspositie;-;K
hoogstonwaarschijnlijk;-;K
vechteconomie;-;K
ziektewetmaatregel;-;K
anabolisch;-;K
smeernippel;-;K
wijfjesdier;-;K
L-profiel;-;K
dialectvorm;-;K
wederoproeping;-;K
hangpuntennota;-;K
Belial;-;K
geboortecontrole;-;K
Asen;-;K
waterslak;-;K
demonopolisering;-;K
luisterbijdrage;-;K
pompstang;-;K
puinkegel;-;K
garnalenvloot;-;K
bedrijfsonzeker;-;K
illegalenprobleem;-;K
bossterfte;-;K
afmeldkaart;-;K
wederga;-;K
wereldluchtvaartmarkt;-;K
economisch-historisch;-;K
rechtsinstelling;-;K
vadersnaam;-;K
dichtheidsverschil;-;K
loerder;-;K
scheepskiel;-;K
reuzengestalte;-;K
haarscheiding;-;K
halfgek;-;K
hotsaus;-;K
historisch-sociologisch;-;K
levenloosheid;-;K
revisiecommissie;-;K
ME-syndroom;-;K
gemakzuchtigheid;-;K
schubvormig;-;K
omraming;-;K
etheromroep;-;K
knersen;-;K
mariaal;-;K
gevoelsontlading;-;K
fusionmuziek;-;K
pianokwintet;-;K
zegerijk;-;K
heroïsering;-;K
buitenzintuiglijk;-;K
dorpsnotabele;-;K
redplank;-;K
vestingstelsel;-;K
grandslamcup;-;K
fullcolourdruk;-;K
krankzinnigenwet;-;K
perronkap;-;K
hoofdcommies;-;K
takelinstallatie;-;K
Z-opleiding;-;K
V-profiel;-;K
uitgeverssector;-;K
Sabaan;-;K
niet-rokencoupé;-;K
bevoorradingsvaart;-;K
ondercurateleplaatsing;-;K
ziektewetplan;-;K
tulpenfestival;-;K
televisievraaggesprek;-;K
moedervel;-;K
fröbelwerk;-;K
rechtshistorie;-;K
ziektewetvoorstel;-;K
normherstel;-;K
duetvorm;-;K
personifiëring;-;K
defensieportefeuille;-;K
graanexport;-;K
gevechtsafstand;-;K
autotelefoonverkeer;-;K
ruïnering;-;K
wakaman;-;K
taakverdelingsoperatie;-;K
puntbuik;-;K
kunstenmakerij;-;K
ruitentikken;-;K
russofiel;-;K
bedplank;-;K
alpenlandschap;-;K
gatlikken;-;K
oppositiepers;-;K
klankvol;-;K
kruisprocessie;-;K
schermbloem;-;K
klepzeiker;-;K
slotmedeklinker;-;K
diernaam;-;K
luxetelegram;-;K
bruinkoolmijn;-;K
tentoonstellingsbezoeker;-;K
verbruikszaal;-;K
machtsusurpatie;-;K
gevoelsuitbarsting;-;K
gedoogdenstatus;-;K
wereldhervormer;-;K
bessenjam;-;K
machtsaanvaarding;-;K
ammoniakgeur;-;K
plasma-eiwit;-;K
ouderafhankelijkheid;-;K
Misjna;-;K
miljoenenleger;-;K
schuifaf;-;K
melkreep;-;K
bollebof;-;K
winstobject;-;K
chef-redactie;-;K
ariërverklaring;-;K
christelijk-nationaal;-;K
sufkop;-;K
kleurencompositie;-;K
zondagsmiddags;-;K
verfrommeling;-;K
kwaaiig;-;K
internationaal-economisch;-;K
Kromanti;-;K
naamloosheid;-;K
negerbloed;-;K
acme;-;K
zabaione;-;K
cassettesysteem;-;K
bosgezicht;-;K
röntgenfilm;-;K
kiteskaten;-;K
valutawijziging;-;K
tweekwartsmaat;-;K
uniformblouse;-;K
polster;-;K
psychobabbel;-;K
ov-studentenjaarkaart;-;K
festivalcatalogus;-;K
vluggerd;-;K
waarnemingsomstandigheden;-;K
Oudindisch;-;K
lospraten;-;K
sluikinvoer;-;K
onafweerbaar;-;K
charterreis;-;K
sjorder;-;K
twaalfmaandsperiode;-;K
auslaut;-;K
kennissociologie;-;K
kunstwol;-;K
Schortelwoensdag;-;K
dakgebint;-;K
onbeschofterik;-;K
agrobiologisch;-;K
vlinderlicht;-;K
filisterdom;-;K
grotestadsleven;-;K
maagholte;-;K
grondstoffenvoorraad;-;K
tabakssap;-;K
lompenhandelaar;-;K
drankkast;-;K
kunstlong;-;K
tijgersprong;-;K
schaduwplant;-;K
Oranjevorst;-;K
nevelsluier;-;K
punthamer;-;K
spatietoets;-;K
heilsgebeuren;-;K
surrogaatkoffie;-;K
sedekah;-;K
BS'er;-;K
waterblaas;-;K
hoekverbinding;-;K
muziekminnaar;-;K
driftmatig;-;K
denationalisering;-;K
ingemeen;-;K
granaatsteen;-;K
hemelteken;-;K
eendagsvlinder;-;K
opperrabbinaat;-;K
microfoonvrees;-;K
rechtermondhoek;-;K
polymeerketen;-;K
Kabylen;-;K
vingerlang;-;K
cauteriseren;-;K
kakkerij;-;K
partijachterban;-;K
kontlikken;-;K
academielid;-;K
scheppingswoord;-;K
spaarbanktegoed;-;K
gestemdheid;-;K
tussenmenselijk;-;K
crochet;-;K
meettafel;-;K
winterzonnestilstand;-;K
Kwinti;-;K
sjampie;-;K
supranaturalisme;-;K
schuifgordijn;-;K
ruigpoot;-;K
natuurfilosofisch;-;K
wetenschapshistorisch;-;K
hooischudder;-;K
voeglijn;-;K
bacovenwinkel;-;K
cirkelrond;-;K
zwijgverbod;-;K
scheepsdiesel;-;K
houweelslag;-;K
kabouterhuisje;-;K
miskleed;-;K
imponeerhouding;-;K
crisistoestand;-;K
afvalverwijderingsbedrijf;-;K
geluksteken;-;K
veekraal;-;K
vertragingsactie;-;K
eponiemenwoordenboek;-;K
strofebouw;-;K
Kaninefaat;-;K
infanterieaanval;-;K
vergrauwen;-;K
pinknagel;-;K
Ingveoons;-;K
allergevoeligst;-;K
mijnwerkersvakbond;-;K
demi-monde;-;K
bacterieflora;-;K
zondagdienst;-;K
naverkoopdienst;-;K
toneeloeuvre;-;K
zwabberaar;-;K
prikkeldraadhek;-;K
werkwoordstam;-;K
klanksymboliek;-;K
girondijns;-;K
stoottoon;-;K
metroniem;-;K
autoreply;-;K
spiraalboor;-;K
berenleider;-;K
verfmassa;-;K
verkorrelen;-;K
rijksmark;-;K
gefascineerdheid;-;K
kenwijsje;-;K
